Timestamp,Temperature (2m),Humidity (2m),PAR Radiation (2m),Temperature (-0.25m),Soil moisture (-0.25m),Temperature (-0.55m),Soil moisture (-0.55m),Station
2010-07-06 21:00:00,16.47,76.53,3.82,15.52,12.09,13.89,14.59,1
2010-07-06 22:00:00,14.73,80.72,3.22,15.49,12.12,13.88,14.57,1
2010-07-06 23:00:00,13.49,85.31,3.4,15.45,12.15,13.88,14.56,1
2010-07-07 00:00:00,12.68,86.83,3.48,15.42,12.17,13.88,14.55,1
2010-07-07 01:00:00,11.69,90.94,3.49,15.37,12.19,13.87,14.53,1
2010-07-07 02:00:00,10.93,93.69,3.52,15.33,12.21,13.87,14.52,1
2010-07-07 03:00:00,10.31,96.04,3.55,15.27,12.22,13.87,14.51,1
2010-07-07 04:00:00,9.86,97.69,5.3,15.21,12.24,13.87,14.5,1
2010-07-07 05:00:00,9.77,98.66,24.52,15.15,12.25,13.86,14.49,1
2010-07-07 06:00:00,10.74,99.05,58.25,15.08,12.26,13.85,14.48,1
2010-07-07 07:00:00,12.87,94.44,81.5,15.02,12.28,13.85,14.47,1
2010-07-07 08:00:00,15.19,84.5,106.96,14.97,12.29,13.85,14.46,1
2010-07-07 09:00:00,16.43,73.62,152.08,14.93,12.28,13.85,14.44,1
2010-07-07 10:00:00,17.51,63.61,165.04,14.9,12.25,13.85,14.43,1
2010-07-07 11:00:00,18.07,60.1,156.34,14.87,12.23,13.83,14.4,1
2010-07-07 12:00:00,18.71,56.55,145.93,14.85,12.2,13.83,14.37,1
2010-07-07 13:00:00,19.38,52.34,146.21,14.83,12.16,13.81,14.34,1
2010-07-07 14:00:00,20.25,48.6,153.57,14.83,12.12,13.8,14.32,1
2010-07-07 15:00:00,20.38,47.84,112.14,14.82,12.08,13.79,14.28,1
2010-07-07 16:00:00,20.55,48.45,77.4,14.82,12.04,13.77,14.25,1
2010-07-07 17:00:00,20.49,47.9,54.68,14.83,12.0,13.75,14.23,1
2010-07-07 18:00:00,20.51,48.03,31.65,14.83,11.97,13.74,14.2,1
2010-07-07 19:00:00,19.37,57.88,17.01,14.84,11.94,13.72,14.19,1
2010-07-07 20:00:00,18.08,65.41,7.84,14.84,11.93,13.7,14.16,1
2010-07-07 21:00:00,15.81,73.78,3.35,14.84,11.92,13.69,14.14,1
2010-07-07 22:00:00,13.91,83.52,2.99,14.83,11.92,13.68,14.13,1
2010-07-07 23:00:00,12.49,88.52,3.17,14.81,11.91,13.67,14.12,1
2010-07-08 00:00:00,11.41,91.88,3.42,14.79,11.9,13.66,14.1,1
2010-07-08 01:00:00,10.6,94.24,3.48,14.76,11.9,13.65,14.08,1
2010-07-08 02:00:00,9.94,95.9,3.51,14.72,11.9,13.65,14.07,1
2010-07-08 03:00:00,9.46,96.98,3.55,14.68,11.88,13.64,14.06,1
2010-07-08 04:00:00,9.0,97.66,5.09,14.62,11.88,13.63,14.06,1
2010-07-08 05:00:00,9.12,97.74,33.77,14.57,11.87,13.63,14.04,1
2010-07-08 06:00:00,11.19,95.2,81.86,14.51,11.87,13.62,14.04,1
2010-07-08 07:00:00,13.49,91.86,48.03,14.47,11.88,13.62,14.02,1
2010-07-08 08:00:00,15.67,83.57,99.81,14.45,11.87,13.63,14.02,1
2010-07-08 09:00:00,17.84,75.28,151.58,14.42,11.86,13.63,14.02,1
2010-07-08 10:00:00,20.72,57.55,197.94,14.39,11.78,13.62,13.96,1
2010-07-08 11:00:00,22.66,50.15,248.91,14.4,11.71,13.61,13.93,1
2010-07-08 12:00:00,23.33,48.38,203.32,14.41,11.67,13.6,13.91,1
2010-07-08 13:00:00,24.21,45.54,167.19,14.44,11.6,13.58,13.87,1
2010-07-08 14:00:00,24.4,47.52,150.49,14.48,11.55,13.57,13.83,1
2010-07-08 15:00:00,24.75,46.84,108.73,14.52,11.49,13.56,13.79,1
2010-07-08 16:00:00,25.24,42.81,73.93,14.57,11.44,13.54,13.76,1
2010-07-08 17:00:00,24.89,46.02,51.67,14.63,11.39,13.53,13.73,1
2010-07-08 18:00:00,24.32,49.2,31.75,14.68,11.34,13.52,13.69,1
2010-07-08 19:00:00,23.45,55.9,17.83,14.73,11.31,13.51,13.67,1
2010-07-08 20:00:00,22.26,63.33,10.1,14.78,11.28,13.5,13.65,1
2010-07-08 21:00:00,20.48,70.18,3.34,14.82,11.26,13.49,13.63,1
2010-07-08 22:00:00,18.5,76.01,3.13,14.85,11.25,13.49,13.62,1
2010-07-08 23:00:00,17.1,80.32,3.37,14.87,11.25,13.49,13.6,1
2010-07-09 00:00:00,16.03,84.14,3.45,14.88,11.24,13.49,13.6,1
2010-07-09 01:00:00,15.19,86.28,3.56,14.88,11.23,13.5,13.59,1
2010-07-09 02:00:00,14.6,88.51,3.59,14.88,11.23,13.5,13.58,1
2010-07-09 03:00:00,14.07,90.78,3.67,14.87,11.22,13.51,13.57,1
2010-07-09 04:00:00,13.47,91.54,4.53,14.84,11.22,13.51,13.56,1
2010-07-09 05:00:00,13.09,93.08,21.09,14.82,11.21,13.52,13.56,1
2010-07-09 06:00:00,13.87,91.01,51.13,14.8,11.21,13.53,13.54,1
2010-07-09 07:00:00,15.98,86.91,77.58,14.77,11.2,13.54,13.53,1
2010-07-09 08:00:00,19.06,81.58,110.38,14.76,11.18,13.55,13.52,1
2010-07-09 09:00:00,22.69,67.49,158.1,14.76,11.13,13.57,13.49,1
2010-07-09 10:00:00,25.01,59.41,196.21,14.77,11.09,13.58,13.46,1
2010-07-09 11:00:00,26.73,50.03,244.92,14.79,11.03,13.58,13.42,1
2010-07-09 12:00:00,28.13,43.33,215.48,14.83,10.97,13.59,13.37,1
2010-07-09 13:00:00,28.58,41.62,165.33,14.89,10.92,13.59,13.32,1
2010-07-09 14:00:00,29.17,39.44,132.19,14.95,10.87,13.59,13.28,1
2010-07-09 15:00:00,29.34,39.09,103.46,15.02,10.81,13.59,13.23,1
2010-07-09 16:00:00,29.2,40.93,75.8,15.09,10.76,13.58,13.19,1
2010-07-09 17:00:00,28.95,42.21,50.63,15.16,10.71,13.58,13.14,1
2010-07-09 18:00:00,28.07,47.02,30.21,15.23,10.66,13.58,13.1,1
2010-07-09 19:00:00,26.95,53.6,16.31,15.3,10.64,13.58,13.06,1
2010-07-09 20:00:00,25.01,60.77,6.55,15.36,10.6,13.58,13.03,1
2010-07-09 21:00:00,23.14,68.03,2.48,15.41,10.58,13.58,13.02,1
2010-07-09 22:00:00,21.03,74.92,2.35,15.46,10.57,13.58,12.99,1
2010-07-09 23:00:00,19.71,80.64,2.68,15.49,10.56,13.59,12.98,1
2010-07-10 00:00:00,18.82,84.41,2.89,15.51,10.55,13.61,12.98,1
2010-07-10 01:00:00,18.35,86.59,2.95,15.53,10.55,13.62,12.96,1
2010-07-10 02:00:00,17.77,87.31,3.03,15.53,10.54,13.63,12.96,1
2010-07-10 03:00:00,17.14,88.86,3.05,15.53,10.54,13.65,12.96,1
2010-07-10 04:00:00,16.63,89.91,4.49,15.52,10.54,13.66,12.95,1
2010-07-10 05:00:00,16.36,90.41,21.1,15.51,10.53,13.67,12.95,1
2010-07-10 06:00:00,17.14,88.36,50.56,15.49,10.52,13.69,12.94,1
2010-07-10 07:00:00,18.78,83.69,77.72,15.48,10.51,13.71,12.94,1
2010-07-10 08:00:00,21.36,77.61,110.08,15.48,10.5,13.74,12.91,1
2010-07-10 09:00:00,24.69,67.46,164.21,15.49,10.46,13.76,12.89,1
2010-07-10 10:00:00,27.13,60.91,194.33,15.51,10.42,13.78,12.86,1
2010-07-10 11:00:00,29.54,51.07,268.11,15.54,10.37,13.8,12.83,1
2010-07-10 12:00:00,29.91,48.98,173.8,15.58,10.33,13.81,12.78,1
2010-07-10 13:00:00,31.68,40.65,161.51,15.63,10.28,13.82,12.73,1
2010-07-10 14:00:00,31.88,40.97,131.25,15.7,10.24,13.83,12.68,1
2010-07-10 15:00:00,32.45,38.91,107.25,15.77,10.19,13.83,12.64,1
2010-07-10 16:00:00,32.08,40.71,77.8,15.85,10.14,13.84,12.59,1
2010-07-10 17:00:00,31.72,42.82,51.16,15.92,10.1,13.84,12.54,1
2010-07-10 18:00:00,30.84,47.56,30.0,16.0,10.06,13.84,12.5,1
2010-07-10 19:00:00,29.01,56.22,15.87,16.07,10.02,13.84,12.46,1
2010-07-10 20:00:00,27.21,63.0,6.87,16.14,10.0,13.84,12.42,1
2010-07-10 21:00:00,25.24,71.11,1.93,16.2,9.98,13.85,12.39,1
2010-07-10 22:00:00,23.43,77.36,1.81,16.25,9.97,13.85,12.37,1
2010-07-10 23:00:00,21.97,81.52,2.29,16.29,9.97,13.87,12.36,1
2010-07-11 00:00:00,21.37,79.81,2.46,16.32,9.96,13.88,12.34,1
2010-07-11 01:00:00,21.27,74.9,2.62,16.35,9.96,13.9,12.34,1
2010-07-11 02:00:00,20.74,74.26,2.55,16.36,9.95,13.92,12.32,1
2010-07-11 03:00:00,19.89,75.05,2.67,16.36,9.94,13.94,12.32,1
2010-07-11 04:00:00,19.01,79.55,4.02,16.36,9.94,13.97,12.31,1
2010-07-11 05:00:00,18.75,82.95,19.59,16.34,9.94,13.98,12.3,1
2010-07-11 06:00:00,19.37,81.98,47.89,16.33,9.93,14.01,12.3,1
2010-07-11 07:00:00,20.96,78.71,77.08,16.33,9.92,14.03,12.28,1
2010-07-11 08:00:00,23.2,73.13,105.83,16.32,9.89,14.06,12.27,1
2010-07-11 09:00:00,26.05,64.0,151.02,16.33,9.87,14.09,12.24,1
2010-07-11 10:00:00,28.39,55.83,207.83,16.34,9.83,14.11,12.21,1
2010-07-11 11:00:00,30.73,45.51,328.18,16.36,9.8,14.13,12.18,1
2010-07-11 12:00:00,32.04,40.14,189.74,16.4,9.76,14.14,12.13,1
2010-07-11 13:00:00,33.25,35.6,175.28,16.44,9.72,14.16,12.09,1
2010-07-11 14:00:00,33.3,34.62,135.54,16.5,9.68,14.17,12.05,1
2010-07-11 15:00:00,32.95,38.69,103.44,16.56,9.65,14.17,12.01,1
2010-07-11 16:00:00,32.56,38.32,74.42,16.63,9.6,14.18,11.97,1
2010-07-11 17:00:00,31.77,39.05,48.99,16.69,9.57,14.18,11.93,1
2010-07-11 18:00:00,30.76,41.51,13.8,16.76,9.53,14.18,11.88,1
2010-07-11 19:00:00,28.1,53.11,12.14,16.82,9.51,14.18,11.85,1
2010-07-11 20:00:00,26.92,58.57,8.83,16.87,9.5,14.18,11.81,1
2010-07-11 21:00:00,25.36,65.33,1.42,16.92,9.48,14.19,11.79,1
2010-07-11 22:00:00,23.62,72.1,1.37,16.95,9.47,14.2,11.76,1
2010-07-11 23:00:00,22.57,75.88,1.93,16.98,9.47,14.21,11.74,1
2010-07-12 00:00:00,21.83,78.64,1.98,16.99,9.47,14.23,11.73,1
2010-07-12 01:00:00,21.32,81.71,2.06,17.0,9.46,14.24,11.72,1
2010-07-12 02:00:00,20.34,85.72,2.15,17.0,9.46,14.26,11.71,1
2010-07-12 03:00:00,19.53,89.02,2.42,16.99,9.45,14.28,11.7,1
2010-07-12 04:00:00,19.0,91.23,4.16,16.98,9.45,14.3,11.7,1
2010-07-12 05:00:00,19.16,89.25,20.42,16.96,9.45,14.32,11.68,1
2010-07-12 06:00:00,19.77,87.9,52.37,16.94,9.45,14.34,11.68,1
2010-07-12 07:00:00,21.48,83.53,76.23,16.93,9.44,14.36,11.68,1
2010-07-12 08:00:00,24.19,72.7,103.76,16.92,9.42,14.39,11.66,1
2010-07-12 09:00:00,26.73,64.27,156.25,16.92,9.4,14.42,11.65,1
2010-07-12 10:00:00,29.24,55.43,211.65,16.92,9.38,14.44,11.62,1
2010-07-12 11:00:00,31.07,47.02,317.01,16.94,9.35,14.46,11.59,1
2010-07-12 12:00:00,32.11,41.16,184.16,16.97,9.32,14.48,11.56,1
2010-07-12 13:00:00,33.02,37.38,158.36,17.0,9.29,14.49,11.53,1
2010-07-12 14:00:00,33.52,35.46,129.43,17.04,9.26,14.5,11.49,1
2010-07-12 15:00:00,33.21,35.61,100.05,17.1,9.23,14.5,11.46,1
2010-07-12 16:00:00,33.32,37.0,72.51,17.16,9.2,14.5,11.42,1
2010-07-12 17:00:00,33.08,37.05,45.27,17.22,9.17,14.5,11.39,1
2010-07-12 18:00:00,32.19,40.69,23.83,17.27,9.15,14.5,11.35,1
2010-07-12 19:00:00,30.05,48.84,9.3,17.33,9.12,14.5,11.31,1
2010-07-12 20:00:00,28.13,52.94,2.21,17.38,9.11,14.49,11.28,1
2010-07-12 21:00:00,26.52,53.44,-1.8,17.42,9.1,14.49,11.25,1
2010-07-12 22:00:00,25.46,57.05,-1.68,17.45,9.09,14.5,11.23,1
2010-07-12 23:00:00,24.89,60.16,-1.43,17.48,9.09,14.51,11.21,1
2010-07-13 00:00:00,24.84,60.24,-1.23,17.51,9.09,14.52,11.19,1
2010-07-13 01:00:00,24.11,61.15,-1.1,17.52,9.09,14.54,11.17,1
2010-07-13 02:00:00,24.06,62.44,-0.94,17.53,9.08,14.56,11.16,1
2010-07-13 03:00:00,22.49,66.65,-0.86,17.53,9.08,14.57,11.15,1
2010-07-13 04:00:00,21.59,72.5,4.43,17.52,9.07,14.59,11.14,1
2010-07-13 05:00:00,21.23,76.26,25.55,17.51,9.07,14.61,11.13,1
2010-07-13 06:00:00,21.56,77.03,36.87,17.49,9.06,14.63,11.12,1
2010-07-13 07:00:00,22.07,77.2,67.54,17.47,9.06,14.65,11.11,1
2010-07-13 08:00:00,22.25,75.17,51.4,17.46,9.05,14.67,11.1,1
2010-07-13 09:00:00,22.21,75.63,55.08,17.44,9.04,14.68,11.08,1
2010-07-13 10:00:00,22.12,77.43,48.26,17.43,9.03,14.7,11.06,1
2010-07-13 11:00:00,21.89,78.29,54.25,17.41,9.02,14.71,11.04,1
2010-07-13 12:00:00,22.22,80.97,125.89,17.4,9.0,14.72,11.02,1
2010-07-13 13:00:00,24.64,65.35,121.61,17.4,8.98,14.74,11.0,1
2010-07-13 14:00:00,24.93,66.26,87.63,17.39,8.96,14.75,10.98,1
2010-07-13 15:00:00,25.26,64.12,87.63,17.38,8.94,14.76,10.96,1
2010-07-13 16:00:00,25.69,61.5,79.26,17.38,8.93,14.77,10.94,1
2010-07-13 17:00:00,25.49,61.53,52.0,17.38,8.9,14.77,10.91,1
2010-07-13 18:00:00,25.65,59.14,40.22,17.38,8.9,14.77,10.88,1
2010-07-13 19:00:00,24.82,60.27,12.26,17.38,8.87,14.76,10.85,1
2010-07-13 20:00:00,23.81,60.83,3.7,17.39,8.86,14.76,10.83,1
2010-07-13 21:00:00,21.72,69.29,-0.38,17.39,8.86,14.75,10.81,1
2010-07-13 22:00:00,19.77,77.94,-0.54,17.38,8.86,14.75,10.79,1
2010-07-13 23:00:00,18.36,84.55,-0.26,17.37,8.86,14.75,10.78,1
2010-07-14 00:00:00,17.32,88.51,-0.17,17.34,8.86,14.75,10.76,1
2010-07-14 01:00:00,16.48,91.49,-0.11,17.31,8.85,14.76,10.75,1
2010-07-14 02:00:00,15.82,93.66,0.01,17.28,8.85,14.76,10.74,1
2010-07-14 03:00:00,15.27,95.09,0.09,17.23,8.84,14.76,10.73,1
2010-07-14 04:00:00,15.01,95.37,0.78,17.19,8.84,14.77,10.72,1
2010-07-14 05:00:00,15.02,96.62,15.41,17.13,8.84,14.77,10.72,1
2010-07-14 06:00:00,16.27,94.29,44.68,17.08,8.84,14.78,10.71,1
2010-07-14 07:00:00,18.49,91.25,74.45,17.04,8.83,14.79,10.7,1
2010-07-14 08:00:00,21.67,86.19,112.09,17.0,8.83,14.81,10.7,1
